@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
42,technician,married,secondary,no,2,no,no,unknown,29,may,249,2,-1,0,no
45,technician,single,tertiary,no,2087,no,no,cellular,29,aug,29,14,-1,0,no
41,management,married,tertiary,no,72,yes,no,unknown,7,may,764,3,-1,0,no
34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470,1,150,5,no
54,retired,married,primary,no,208,no,no,unknown,12,may,255,1,-1,0,no
20,student,single,secondary,no,1191,no,no,cellular,12,feb,274,1,-1,0,no
32,technician,single,secondary,no,0,no,no,cellular,26,aug,181,2,-1,0,no
42,blue-collar,single,primary,no,92,no,no,cellular,30,jul,86,2,-1,0,no
43,admin.,married,secondary,no,0,yes,no,cellular,17,jul,674,3,-1,0,no
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23,5,-1,0,no
28,blue-collar,single,secondary,no,43,no,no,unknown,19,may,190,1,-1,0,no
40,unemployed,divorced,secondary,no,507,yes,no,cellular,2,feb,134,1,266,7,no
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,no
50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,no
34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,nov,50,1,-1,0,no
36,blue-collar,single,secondary,no,35,yes,no,unknown,3,jun,435,3,-1,0,no
32,services,single,secondary,no,0,yes,no,cellular,31,jul,99,13,-1,0,no
42,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,no
46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,no
45,blue-collar,married,secondary,no,4365,no,yes,cellular,9,feb,45,2,-1,0,no
35,technician,married,secondary,no,327,yes,no,cellular,13,apr,537,3,-1,0,no
28,technician,single,secondary,no,1453,yes,no,cellular,12,may,246,1,343,1,no
34,technician,single,secondary,no,318,no,yes,cellular,25,jul,239,5,-1,0,no
35,technician,single,tertiary,no,2288,no,no,telephone,28,may,32,2,-1,0,no
48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,no
30,technician,single,tertiary,no,6619,yes,no,cellular,21,aug,239,8,-1,0,no
34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,apr,543,3,321,6,no
32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,no
42,unemployed,single,secondary,no,2613,yes,no,cellular,30,jul,174,6,-1,0,no
31,management,single,tertiary,no,1130,yes,no,cellular,17,apr,224,3,74,4,no
47,technician,married,secondary,no,302,yes,no,unknown,20,jun,89,3,-1,0,no
31,self-employed,single,secondary,no,360,yes,no,unknown,26,may,592,4,-1,0,no
31,blue-collar,married,secondary,no,1495,yes,yes,unknown,23,may,159,3,-1,0,no
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,no
41,entrepreneur,married,tertiary,no,171,yes,no,cellular,19,nov,209,1,191,4,no
55,blue-collar,married,primary,no,2275,no,no,cellular,25,aug,139,9,-1,0,no
57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67,1,368,2,no
38,technician,single,tertiary,no,744,yes,no,cellular,14,may,283,1,288,12,no
31,self-employed,married,tertiary,no,259,yes,no,cellular,7,may,47,1,-1,0,no
48,technician,married,secondary,no,4265,yes,no,unknown,13,may,220,2,-1,0,no
41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,no
34,blue-collar,married,primary,no,428,yes,no,cellular,18,may,59,2,-1,0,no
57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,no
34,entrepreneur,married,tertiary,no,475,yes,yes,cellular,9,jul,1156,1,-1,0,no
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866,2,-1,0,no
30,technician,single,secondary,no,175,no,no,cellular,25,aug,167,4,-1,0,no
37,services,married,secondary,no,658,yes,no,telephone,23,jul,175,1,-1,0,no
43,technician,married,secondary,no,-932,yes,no,cellular,16,apr,567,1,-1,0,no
33,management,divorced,tertiary,yes,280,no,yes,cellular,18,nov,155,1,-1,0,no
51,housemaid,married,secondary,no,260,no,no,cellular,27,aug,316,5,-1,0,no
28,blue-collar,single,secondary,no,2700,no,no,cellular,3,feb,337,4,-1,0,no
43,technician,married,secondary,no,50,no,no,unknown,28,may,63,1,-1,0,no
32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,no
65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,no
26,management,divorced,tertiary,yes,-402,no,yes,unknown,12,may,127,2,-1,0,no
27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,no
37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,no
27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,no
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218,1,330,2,no
30,admin.,single,secondary,no,-635,no,no,cellular,25,jul,250,1,-1,0,no
39,technician,married,tertiary,no,794,no,no,telephone,2,feb,182,1,-1,0,no
39,services,married,secondary,no,9374,yes,no,unknown,20,may,273,1,-1,0,no
32,technician,single,secondary,no,29,no,no,cellular,19,aug,156,2,-1,0,no
32,admin.,married,secondary,no,923,yes,no,cellular,17,apr,819,4,-1,0,no
